review_text,sentiment,text_length
We've had to redo the same integration setup twice because it silently reset after a platform update.,Frustrated,101
The recent price increase was the smallest we've seen among all the tools we currently pay for.,Satisfied,95
We switched our billing contact recently and the transition was handled without a single hiccup.,Satisfied,96
"Five months in, heavy use through the API, and the total lack of bugs this early has been a genuinely good sign.",Satisfied,112
The recent outage postmortem raised more questions than it answered about data integrity.,Frustrated,89
Half our reports broke overnight and support's first response was to ask if we'd tried refreshing.,Frustrated,98
"The export format changed recently, took a short adjustment period.",Neutral,67
"We're a year in, heavy use across the team through the API, and the total absence of real bugs has made renewal an easy call.",Satisfied,125
The recent consolidation of admin settings buried options our IT team relies on daily.,Frustrated,86
We've had three separate incidents this year where data just didn't save.,Frustrated,73
We were quoted a two-week fix for the sync bug. That was two months ago.,Frustrated,72
The export feature now needs a manual retry almost every single time.,Frustrated,69
The mobile notifications come through reliably enough for our purposes.,Neutral,71
We haven't run into any billing surprises since we signed up.,Neutral,61
The recent price lock offer for early renewal was a nice surprise.,Satisfied,66
The recent redesign of the reporting module made a genuinely complex process feel simple.,Satisfied,89
"Our team's onboarding feedback was uniformly positive, which is rare for us.",Satisfied,76
Our finance team hasn't raised any questions about the recent invoices.,Neutral,71
"We haven't had strong feelings about the recent visual changes, just different.",Neutral,79
"Still setting things up on our end, too early to say much either way.",Neutral,69
"Our account rep reached out for a routine check-in, nothing specific came out of it.",Neutral,84
"Honestly, the documentation hasn't kept up with the product for a while now.",Frustrated,76
"A teammate asked about the API limits, support gave a clear answer.",Neutral,67
"The dashboard scaled smoothly as our team grew, never missed a beat.",Satisfied,68
Our procurement team said this was the easiest renewal negotiation they've had all year.,Satisfied,88
A recent feature announcement didn't apply to how we currently use the product.,Neutral,79
"About eight months of heavy daily use, and we genuinely can't think of a single bug worth mentioning.",Satisfied,101
We're still waiting on a callback from an escalation filed almost two weeks ago.,Frustrated,80
"We're a newer account, so still calibrating what normal usage looks like for us.",Neutral,80
"We've had mixed experiences with support response times, some fast, some slower.",Neutral,80
Our team's trust in this tool has only grown the longer we've used it.,Satisfied,70
"Light users for most of the year, but even our occasional weekly logins have hit the same recurring bug twice now.",Frustrated,114
"We noticed a small change in how totals are displayed, took a moment to get used to.",Neutral,84
We've had this account for a year and a half without a single formal complaint filed.,Satisfied,85
Support's answer to a tricky integration question was thorough and genuinely helpful.,Satisfied,85
Every quarter brings a UI change that breaks something our team had built a habit around.,Frustrated,89
Our team's saved dashboards broke after the visual refresh with no migration path offered.,Frustrated,90
The pricing calculator at renewal quoted a number that didn't match the actual invoice.,Frustrated,87
